Folge,Titel,Sender,Erstausstrahlung,Ermittler,Fall,Autor,Regie,Besonderheiten
1,Taxi nach Leipzig,NDR,1970-11-29,Trimmel,1,"Friedhelm Werremeier, Peter Schulze-Rohr",Peter Schulze-Rohr,Erst nach der Fertigstellung zum Tatort umgewidmet.
2,"Saarbrücken, an einem Montag …",SR,1970-12-13,Liersdahl und Schäfermann,1,Johannes Niem,Karlheinz Bieber,Erst nach der Fertigstellung zum Tatort umgewidmet.
3,Kressin und der tote Mann im Fleet,WDR,1971-01-10,Kressin(Gastauftritt Trimmel und Höffgen),1,Wolfgang Menge,Peter Beauvais,
4,Auf offener Straße,SDR,1971-02-07,Lutz,1,"Leonie Ossowski, Gunther Solowjew",Theo Mezger,Lutz ermittelt in Mannheim
5,Kressin und der Laster nach Lüttich,WDR,1971-03-07,Kressin(Gastauftritt Lutz),2,Wolfgang Menge,Tom Toelle,
6,Frankfurter Gold,HR,1971-04-04,Konrad,1,Eberhard Fechner,Eberhard Fechner,
7,Kressin stoppt den Nordexpress,WDR,1971-05-02,Kressin(Gastauftritt Höffgen),3,Wolfgang Menge,Rolf von Sydow,
8,Blechschaden,NDR,1971-06-13,Finke(Gastauftritt Trimmel),1,Herbert Lichtenfeld,Wolfgang Petersen,"Mit Götz George in einer Hauptrolle, 10 Jahre vor seinem ersten Auftritt als Tatort-Kommissar Schimanski."
9,Exklusiv!,NDR,1971-07-11,Trimmel,2,Friedhelm Werremeier,Peter Schulze-Rohr,"Bereits 1969 ausgestrahlt, 1971 nachträglich zum Tatort umgewidmet"
10,AE612 ohne Landeerlaubnis,NDR,1971-09-12,Trimmel(Gastauftritt Wirz),3,Friedhelm Werremeier,Peter Schulze-Rohr,
11,Der Richter in Weiss,NDR,1971-10-10,Trimmel,4,Friedhelm Werremeier,Peter Schulze-Rohr,War bis zum Erscheinen von Tschiller: Off Duty mit 119:19 Minuten der längste Tatort
12,Mordverdacht,ORF,1971-11-07,Marek(Gastauftritt Trimmel),1,Fritz Eckhardt,Walter Davy,Mit Paul Hörbiger
13,Der Boss,SFB,1971-12-19,Kasulke(Gastauftritt Veigl),1,Johannes Hendrich,Heinz Schirk,Mit 56:18 Minuten der bis heute kürzeste Tatort
14,Münchner Kindl,BR,1972-01-09,Veigl,1,"Michael Kehlmann, Carl Merz",Michael Kehlmann,Ungewöhnlicher Einstieg in die Folge – der Vorspann erfolgt nach einem Gastauftritt des Tagesschausprechers Werner Veigel
15,Wenn Steine sprechen,SWF,1972-02-13,Pflüger(Gastauftritt Veigl),1,Bruno Hampel,Erich Neureuther,Einziger Fall dieses Ermittlers.
16,Der Fall Geisterbahn,HR,1972-03-12,Konrad(Gastauftritt Kressin),2,"Hansjörg Martin, Hans Dieter Schwarze",Hans Dieter Schwarze,Kommissar Konrad leidet unter Personalmangel; daher ermittelt Kriminalhauptmeister Klipp vom Einbruchsderzernat. Der Fall spielt nicht in Frankfurt. Wegen unklarer Lizenzrechte nach Konkurs der Produktionsfirma nicht wiederholt[1]
17,Kennwort Fähre,SDR,1972-04-03,Lutz(Gastauftritt Brauchle),2,Wolfgang Menge,Theo Mezger,Mit 102:24 Minuten außergewöhnlich lang; Lutz ermittelt in Friedrichshafen
18,Kressin und die Frau des Malers,WDR,1972-05-28,Kressin(Gastauftritt Konrad),4,"Pim de la Parra, Klaus Recht, Hans Heinrich Ziemann",Pim de la Parra,
19,Strandgut,NDR,1972-06-25,Finke(Gastauftritt Konrad),2,Herbert Lichtenfeld,Wolfgang Petersen,
20,Kressin und der Mann mit dem gelben Koffer,WDR,1972-07-09,Kressin(Gastauftritt Marek),5,Wolfgang Menge,Michael Verhoeven,Ernst Dieter Lueg und Friedrich Nowottny spielen sich selbst. Eberhard Feik spielt neun Jahre vor seinem ersten Auftritt als Schimanski-Assistent Thanner einen Wachtmeister.
21,Rechnen Sie mit dem Schlimmsten,NDR,1972-09-24,Trimmel(Gastauftritt Veigl),5,Friedhelm Werremeier,Peter Schulze-Rohr,
22,Rattennest,SFB,1972-10-08,Kasulke,2,Johannes Hendrich,Günter Gräwert,Letzter Fall dieses Ermittlers
23,Die Samtfalle,ORF,1972-11-12,Marek(Gastauftritt Kressin),2,Fritz Eckhardt,Walter Davy,
24,Kennwort Gute Reise,HR,1972-12-10,Konrad(Gastauftritt Veigl),3,Daniel Christoff,Georg Tressler,
25,Tote Taube in der Beethovenstraße,WDR,1973-01-07,Kressin,6,Samuel Fuller,Samuel Fuller,Lief in den USA im Kino
26,Ein ganz gewöhnlicher Mord,Radio Bremen,1973-02-04,Böck(Gastauftritt Veigl),1,Dieter Wedel,Dieter Wedel,Einziger Fall dieses Ermittlers.
27,Cherchez la femme oder Die Geister vom Mummelsee,SWF,1973-03-04,Gerber(Gastauftritt Finke),1,Dieter Waldmann,Wilm ten Haaf,
28,Stuttgarter Blüten,SDR,1973-04-01,Lutz(Gastauftritt Veigl),3,Wolfgang Menge,Theo Mezger,Lutz ermittelt in Stuttgart; Willy Reicherts letzter Fernsehauftritt
29,Jagdrevier,NDR,1973-05-13,Finke(Gastauftritt Kressin),3,Herbert Lichtenfeld,Wolfgang Petersen,"Kressin kommt nicht als handelnde Figur vor, sondern Finke u. a. schauen den Tatort Nr. 18 „Kressin und die Frau des Malers“ im Fernseher einer Gaststätte."
30,Weißblaue Turnschuhe,BR,1973-06-24,Veigl(Gastauftritt Liersdahl),2,Herbert Rosendorfer,Wolf Dietrich,Erneut ein ungewöhnlicher Einstieg in den Veigl-Tatort: die Titelmelodie läuft nach dem Vorspann auch zu Beginn der ersten Szene weiter.
31,Kressin und die zwei Damen aus Jade,WDR,1973-07-08,Kressin(Gastauftritt Liersdahl und Schäfermann),7,Karl Heinz Willschrei,Rolf von Sydow,Letzter Einsatz für Kressin
32,Platzverweis für Trimmel,NDR,1973-08-19,Trimmel(Gastauftritt Böck),6,Friedhelm Werremeier,Peter Schulze-Rohr,
33,Das fehlende Gewicht,SR,1973-09-30,Liersdahl und Schäfermann,2,Bruno Hampel,Rolf von Sydow,"Letzter Fall für Liersdahl, Schäfermann ermittelt in vier weiteren Fällen als alleiniger Hauptermittler"
34,Tote brauchen keine Wohnung,BR,1973-11-11,Veigl(Gastauftritt Böck),3,Michael Molsner,Wolfgang Staudte,Wegen brutaler und menschenverachtender Darstellung eines Miethais jahrelang nicht wiederholt[1]
35,Frauenmord,ORF,1973-12-09,Marek(Gastauftritt Brauchle),3,Fritz Eckhardt,Fritz Eckhardt,
36,Nachtfrost,NDR,1974-01-20,Finke(Gastauftritt Lutz),4,Herbert Lichtenfeld,Wolfgang Petersen,Erzielte mit 76 Prozent die höchste bekannte Haushaltsreichweite
37,Eine todsichere Sache,HR,1974-02-17,Konrad(Gastauftritt Finke),4,Herbert Lichtenfeld,Thomas Fantl,
38,Playback oder die Show geht weiter,SWF,1974-03-17,Gerber(Gastauftritt Lutz),2,Henner Höhs,Rolf von Sydow,"Heidi Brühl spielt die Hauptrolle, als sie selbst. Karl-Heinz Köpcke ist als Tagesschau-Sprecher im Fernsehen zu sehen."
39,Acht Jahre später,WDR,1974-04-28,Haferkamp und Kreutzer(Gastauftritt Finke),1,Karl Heinz Willschrei,Wolfgang Becker,
40,3:0 für Veigl,BR,1974-05-26,Veigl(Gastauftritt Lutz),4,"Michael Kehlmann, Carl Merz",Michael Kehlmann,"Thematisiert die bevorstehende Fußball-Weltmeisterschaft 1974, die zum Zeitpunkt der Handlung der Folge bereits stattfindet. Dies war bis zum Tatort HAL (991) die bislang einzige Tatort-Folge, die in der Zukunft spielt."
41,Zweikampf,WDR,1974-06-23,Haferkamp und Kreutzer(Gastauftritt Veigl),2,Karl Heinz Willschrei,Wolfgang Becker,
42,Gift,NDR,1974-07-21,Trimmel(Gastauftritt Finke),7,Friedhelm Werremeier,Peter Schulze-Rohr,Trimmel (Hamburg) und Finke (Kiel) ermitteln gemeinsam.
43,Gefährliche Wanzen,SDR,1974-09-29,Lutz(Gastauftritt Trimmel und Kreutzer),4,Wolfgang Menge,Theo Mezger,Lutz ermittelt in Karlsruhe.
44,Mord im Ministerium,ORF,1974-10-13,Marek(Gastauftritt Kasulke),4,Fritz Eckhardt,Fritz Eckhardt,
45,Kneipenbekanntschaft,NDR,1974-11-10,Brammer(Gastauftritt Finke),1,"Hans Drawe, Rüdiger Humpert",Jörg-Michael Baldenius,Gastauftritt von Udo Lindenberg
46,Der Mann aus Zimmer 22,WDR,1974-12-08,Haferkamp und Kreutzer(Gastauftritt Böck),3,Oliver Storz,Heinz Schirk,
47,Die Rechnung wird nachgereicht,HR,1975-01-19,Konrad(Gastauftritt Trimmel),5,Herbert Lichtenfeld,Fritz Umgelter,
48,Als gestohlen gemeldet,BR,1975-02-16,Veigl(Gastauftritt Trimmel),5,Erna Fentsch,Wilm ten Haaf,
49,Tod eines Einbrechers,SWF,1975-03-16,Gerber(Gastauftritt Lutz),3,"Rolf von Sydow, Herbert Lichtenfeld (Idee)",Rolf von Sydow,
50,Wodka Bitter-Lemon,WDR,1975-04-13,Haferkamp und Kreutzer(Gastauftritt Veigl),4,Henry Kolarz,Franz Peter Wirth,
51,Das zweite Geständnis,BR,1975-05-11,Veigl(Gastauftritt Gerber),6,Michael Molsner,Wilm ten Haaf,
52,Die Abrechnung,WDR,1975-06-08,Haferkamp und Kreutzer(Gastauftritt Veigl),5,Karl Heinz Willschrei,Wolfgang Becker,
53,Mordgedanken,NDR,1975-07-06,Brammer(Gastauftritt Gerber),2,"Rainer Boldt, Rüdiger Humpert, Stefan Murr (Roman)",Bruno Jantoss,
54,Schöne Belinda,SDR,1975-08-31,Lutz(Gastauftritt Liersdahl),5,Urs Aebersold,Theo Mezger,Lutz ermittelt in Ulm; Gastauftritt von Rosy Rosy
55,Urlaubsmord,ORF,1975-09-28,Marek(Gastauftritt Veigl),5,Fritz Eckhardt,Peter Weck,
56,Treffpunkt Friedhof,WDR,1975-10-12,Haferkamp und Kreutzer,6,Werner Kließ,Wolfgang Becker,
57,Tod im U-Bahnschacht,SFB,1975-11-09,Schmidt,1,Peter Stripp,Wolf Gremm,Nach umstrittener Erstsendung jahrelang nicht wiederholt[1]
58,Kurzschluß,NDR,1975-12-07,Finke,5,Herbert Lichtenfeld,Wolfgang Petersen,
59,Augenzeuge,SDR,1976-01-18,Lutz(Gastauftritt Gerber),6,Urs Aebersold,Theo Mezger,Lutz ermittelt in Heidelberg
60,Die Abrechnung,SWF,1976-02-15,Gerber(Gastauftritt Konrad),4,Hasso Plötze,Michael Braun,
61,Zwei Leben,WDR,1976-03-14,Haferkamp und Kreutzer(Gastauftritt Finke),7,Karl Heinz Willschrei,Wolfgang Staudte,
62,Zwei Flugkarten nach Rio,HR,1976-04-11,Konrad,6,Herbert Lichtenfeld,Fritz Umgelter,Gastauftritt von Franz Grothe
63,Wohnheim Westendstraße,BR,1976-05-09,Veigl,7,Herbert Rosendorfer,Axel Corti,
64,Fortuna III,WDR,1976-06-07,Haferkamp und Kreutzer,8,"Wolfgang Mühlbauer, Hannes Burger",Wolfgang Becker,
65,… und dann ist Zahltag,NDR,1976-08-15,Brammer,3,"Werner Jörg Lüddecke, Joachim Jessen (Roman), Detlef Lerch (Roman)",Jürgen Roland,"Brammer fährt am Anfang in Urlaub, mit dem Fall befasst sich größtenteils Kriminalobermeister Ferdinand Hesse in Heiligenhafen."
66,Annoncen-Mord,ORF,1976-09-12,Marek(Gastauftritt Brammer),6,Fritz Eckhardt,Peter Weck,
67,Trimmel und der Tulpendieb,NDR,1976-10-10,Trimmel,8,Friedhelm Werremeier,Peter Schulze-Rohr,
68,Abendstern,WDR,1976-11-07,Haferkamp und Kreutzer(Gastauftritt Veigl),9,Herbert Lichtenfeld,Wolfgang Becker,
69,Transit ins Jenseits,SFB,1976-12-05,Schmidt(Gastauftritt Veigl und Lenz),2,"Jens-Peter Behrend, Günter Gräwert",Günter Gräwert,"Mit Marius Müller-Westernhagen und Götz George, 5 Jahre vor seinem ersten Auftritt als Tatort-Kommissar Schimanski. Leiche erst bei Minute 51."
70,Das Mädchen am Klavier,BR,1977-01-02,Veigl,8,Erna Fentsch,Lutz Büscher,
71,Himmelblau mit Silberstreifen,SDR,1977-01-30,Lutz(Gastauftritt Marek),7,Fritz Eckhardt,Theo Mezger,Lutz ermittelt in der fiktiven Stadt Weilerburg
72,Flieder für Jaczek,HR,1977-02-27,Konrad(Gastauftritt Schäfermann),7,"Jürgen Scheschkewitz, Stefan Murr (Roman)",Fritz Umgelter,
73,Reifezeugnis,NDR,1977-03-27,Finke,6,Herbert Lichtenfeld,Wolfgang Petersen,"Debüt der jungen Nastassja Kinski, die sich für den Film auch mehrfach auszog. Mit 25,05 Millionen Zuschauern bei der Erstausstrahlung zweithöchste Zuschauerzahl aller Tatortfolgen.[2]"
